Source;Destinations(443011199, 443010655, 0);(443011199, 443010655, 0)|44.869
(247036680, 247036681, 0);(247036680, 247036681, 0)|56.129
(1584882229, 1584882230, 0);(1584882229, 1584882230, 0)|119.942
(1584888112, 1584888111, 0);(1584888112, 1584888111, 0)|69.782
(443011210, 443011211, 0);(443011210, 443011211, 0)|21.391
(443011199, 443011205, 0);(443011199, 443011205, 0)|82.269
(443010622, 443010613, 0);(443010622, 443010613, 0)|146.818
(2465053429L, 2414810226L, 0);(2465053429L, 2414810226L, 0)|87.588
(1177083445, 1177083389, 0);(1177083445, 1177083389, 0)|366.901
(443010676, 443010655, 0);(443010676, 443010655, 0)|98.648
(250067446, 1181245124, 0);(250067446, 1181245124, 0)|304.425
(443011211, 443011205, 0);(443011211, 443011205, 0)|16.6
(381116720, 376042130, 0);(381116720, 376042130, 0)|46.2
(3124506057L, 1177083294, 0);(3124506057L, 1177083294, 0)|57.928
(207720614, 207720615, 0);(207720614, 207720615, 0)|18.08
(776385575, 1584882230, 0);(776385575, 1584882230, 0)|222.271
(3124506039L, 3123452558L, 0);(3124506039L, 3123452558L, 0)|138.334
(3124506050L, 443011199, 0);(3124506050L, 443011199, 0)|28.33
(776385386, 776385374, 0);(776385386, 776385374, 0)|150.328
(416835596, 416835591, 0);(416835596, 416835591, 0)|69.746
(1135833631, 1135833429, 0);(1135833631, 1135833429, 0)|26.687
(416835342, 416835335, 0);(416835342, 416835335, 0)|37.881
(416835270, 416835342, 0);(416835270, 416835342, 0)|46.036
(443010623, 443011191, 0);(443010623, 443011191, 0)|91.683
(416835292, 416835508, 0);(416835292, 416835508, 0)|157.998
(2414810212L, 416835543, 0);(2414810212L, 416835543, 0)|31.724
(2704142906L, 1556441308, 0);(2704142906L, 1556441308, 0)|19.913
(443010658, 3123452543L, 0);(443010658, 3123452543L, 0)|20.393
(443010666, 443010665, 0);(443010666, 443010665, 0)|38.387
(416835530, 416835524, 0);(416835530, 416835524, 0)|67.013
(416835508, 776385431, 0);(416835508, 776385431, 0)|6.8
(3123452541L, 443010679, 0);(3123452541L, 443010679, 0)|16.695
(416828394, 416835403, 0);(416828394, 416835403, 0)|69.21
(416835621, 416835629, 0);(416835621, 416835629, 0)|60.597
(382400880, 489779228, 0);(382400880, 489779228, 0)|385.03
(416835403, 416835543, 0);(416835403, 416835543, 0)|110.312
(4944457310L, 3124506055L, 0);(4944457310L, 3124506055L, 0)|59.756
(3124506055L, 4944457310L, 0);(3124506055L, 4944457310L, 0)|59.756
(2414810214L, 2414810211L, 0);(2414810214L, 2414810211L, 0)|104.086
(1120362093, 776479896, 0);(1120362093, 776479896, 0)|122.92
(776385643, 776385359, 0);(776385643, 776385359, 0)|66.119
(416828382, 416835256, 0);(416828382, 416835256, 0)|143.456
(3123452543L, 443011201, 0);(3123452543L, 443011201, 0)|63.422
(776385374, 776385643, 0);(776385374, 776385643, 0)|170.358
(5557745361L, 207720398, 0);(5557745361L, 207720398, 0)|344.192
(1584882211, 980003855, 0);(1584882211, 980003855, 0)|33.032
(416835632, 416835629, 0);(416835632, 416835629, 0)|60.202
(3123452556L, 3123452557L, 0);(3123452556L, 3123452557L, 0)|124.536
(3123452561L, 3123452563L, 0);(3123452561L, 3123452563L, 0)|63.417
(416828382, 416828383, 0);(416828382, 416828383, 0)|29.368
(416835407, 416835410, 0);(416835407, 416835410, 0)|26.482
(3123452557L, 3123452556L, 0);(3123452557L, 3123452556L, 0)|124.536
(416835410, 207606356, 0);(416835410, 207606356, 0)|111.487
(2077282475, 1584888122, 0);(2077282475, 1584888122, 0)|44.274
(443011191, 443010623, 0);(443011191, 443010623, 0)|91.683
(443010608, 443010609, 0);(443010608, 443010609, 0)|41.524
(2414810211L, 2414810210L, 0);(2414810211L, 2414810210L, 0)|63.792
(2704142910L, 207721218, 0);(2704142910L, 207721218, 0)|102.02
(443010604, 443010611, 0);(443010604, 443010611, 0)|116.376
(247123654, 1181245124, 0);(247123654, 1181245124, 0)|129.146
(5532300141L, 295604179, 0);(5532300141L, 295604179, 0)|23.287
(443010621, 3123452570L, 0);(443010621, 3123452570L, 0)|22.373
(247123664, 1589959498, 0);(247123664, 1589959498, 0)|42.066
(247125315, 1589959558, 0);(247125315, 1589959558, 0)|34.366
(443011156, 443011210, 0);(443011156, 443011210, 0)|34.624
(3124506056L, 247125315, 0);(3124506056L, 247125315, 0)|42.007
(443010609, 3123452547L, 0);(443010609, 3123452547L, 0)|84.439
(1177083494, 416835335, 0);(1177083494, 416835335, 0)|184.468
(1589959498, 247124765, 0);(1589959498, 247124765, 0)|7.567
(416835591, 416835588, 0);(416835591, 416835588, 0)|43.739
(207721202, 1135834113, 0);(207721202, 1135834113, 0)|45.603
(207720398, 5559249624L, 0);(207720398, 5559249624L, 0)|8.031
(2704142906L, 247123624, 0);(2704142906L, 247123624, 0)|41.302
(1827533334, 1772755919, 0);(1827533334, 1772755919, 0)|201.403
(2077284433, 2077282471, 0);(2077284433, 2077282471, 0)|23.541
(443011210, 443011173, 0);(443011210, 443011173, 0)|99.66
(416835588, 416835596, 0);(416835588, 416835596, 0)|109.306
(1135833899, 1135833631, 0);(1135833899, 1135833631, 0)|11.869
(776385374, 776385359, 0);(776385374, 776385359, 0)|102.215
